City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,talnakh,69.4865,88.3972,289.96,91,100,0.61,RU,1720838941
83,puerto ayora,-0.7393,-90.3518,294.57,96,100,1.79,EC,1720838942
84,benghazi,32.1167,20.0667,299.86,73,0,4.0,LY,1720838944
85,nagqu,31.5,92.0,282.96,76,100,4.18,CN,1720838945
86,olonkinbyen,70.9221,-8.7187,276.98,94,97,5.83,SJ,1720838947
87,lebu,-37.6167,-73.65,279.75,80,0,2.39,CL,1720838948
88,vorgashor,67.5833,63.95,283.55,64,72,2.77,RU,1720838951
89,carahue,-38.7,-73.1667,277.81,86,18,1.04,CL,1720838953
90,whitehorse,60.7161,-135.0538,289.58,41,75,5.66,CA,1720838805
91,punta arenas,-53.15,-70.9167,279.21,75,75,4.63,CL,1720838737
92,weno,7.4515,151.8468,305.12,79,100,3.6,FM,1720838957
93,thief river falls,48.1191,-96.1812,299.11,69,0,3.6,US,1720838959
94,ilulissat,69.2167,-51.1,280.16,65,40,1.54,GL,1720838961
95,shetpe,44.1667,52.1167,296.29,43,0,5.09,KZ,1720838962
96,hami,42.8,93.45,301.89,29,100,2.83,CN,1720838964
97,pucheng,27.9233,118.5333,306.53,55,100,1.97,CN,1720838965
98,marchtrenk,48.1957,14.1185,290.27,82,100,3.6,AT,1720838967
99,santa elena de uairen,4.6167,-61.1333,292.51,88,76,0.81,VE,1720838968
100,anori,-3.7728,-61.6442,298.54,78,100,1.93,BR,1720838970
101,beau vallon,-20.4189,57.6953,296.28,64,75,4.12,MU,1720838972
102,kone,-21.0595,164.8658,300.75,61,24,1.49,NC,1720838973
103,antalaha,-14.9003,50.2788,294.72,90,49,4.82,MG,1720838975
104,minot,48.2325,-101.2963,297.21,60,0,1.54,US,1720838978
105,nepomuceno,-21.2358,-45.2358,289.67,87,5,2.65,BR,1720838979
106,tofol,5.3248,163.0078,302.03,84,100,3.09,FM,1720838981
107,hithadhoo,-0.6,73.0833,301.94,71,2,3.72,MV,1720838982
108,albany,42.6001,-73.9662,297.45,89,100,1.41,US,1720838794
109,khandyga,62.6667,135.6,303.46,33,40,2.49,RU,1720838986
110,hawaiian paradise park,19.5933,-154.9731,300.78,79,100,3.6,US,1720838988
111,yellowknife,62.456,-114.3525,287.82,71,40,5.66,CA,1720838989
112,pangody,65.85,74.4859,288.27,75,93,6.08,RU,1720838992
113,songea,-10.6833,35.65,288.63,84,95,1.27,TZ,1720838994
114,watford city,47.8022,-103.2832,299.9,78,0,0.0,US,1720838996
115,caluula,11.9661,50.7569,303.79,69,100,2.76,SO,1720838998
116,midar,34.9403,-3.5331,296.8,35,43,2.09,MA,1720839001
117,touros,-5.1989,-35.4608,296.93,79,53,6.38,BR,1720839003
118,villa gesell,-37.2639,-56.973,276.51,75,0,2.89,AR,1720839005
